Category,Segment,Scenario,Date,Value
Urban,Convenience,Forecast,2016-12-01 00:00:00.000,120710.4406
Urban,Convenience,Forecast,2016-11-01 00:00:00.000,129923.2814
Urban,Convenience,Forecast,2016-10-01 00:00:00.000,169468.7696
Urban,Convenience,Forecast,2016-09-01 00:00:00.000,219703.7363
Urban,Convenience,Forecast,2016-08-01 00:00:00.000,333460.8569
Urban,Convenience,Forecast,2016-07-01 00:00:00.000,345230.9632
Urban,Convenience,Forecast,2016-06-01 00:00:00.000,262211.9656
Urban,Convenience,Forecast,2016-05-01 00:00:00.000,276318.0256
Urban,Convenience,Forecast,2016-04-01 00:00:00.000,351049.3899
Urban,Convenience,Forecast,2016-03-01 00:00:00.000,343660.2303
Urban,Convenience,Forecast,2016-02-01 00:00:00.000,148965.7223
Urban,Convenience,Forecast,2016-01-01 00:00:00.000,121859.4459
Urban,Convenience,Budget,2016-12-01 00:00:00.000,125587.6301
Urban,Convenience,Budget,2016-11-01 00:00:00.000,127350.5431
Urban,Convenience,Budget,2016-10-01 00:00:00.000,161079.2266
Urban,Convenience,Budget,2016-09-01 00:00:00.000,221968.7233
Urban,Convenience,Budget,2016-08-01 00:00:00.000,343268.5292
Urban,Convenience,Budget,2016-07-01 00:00:00.000,327806.3502
Urban,Convenience,Budget,2016-06-01 00:00:00.000,261009.5613
Urban,Convenience,Budget,2016-05-01 00:00:00.000,263033.5052
Urban,Convenience,Budget,2016-04-01 00:00:00.000,330989.4247
Urban,Convenience,Budget,2016-03-01 00:00:00.000,316968.1736
Urban,Convenience,Budget,2016-02-01 00:00:00.000,152101.8428
Urban,Convenience,Budget,2016-01-01 00:00:00.000,124372.0118
Urban,Convenience,Budget,2015-12-01 00:00:00.000,117052.5485
Urban,Convenience,Budget,2015-11-01 00:00:00.000,135068.7579
Urban,Convenience,Budget,2015-10-01 00:00:00.000,161079.2266
Urban,Convenience,Budget,2015-09-01 00:00:00.000,235558.6451
Urban,Convenience,Budget,2015-08-01 00:00:00.000,343268.5292
Urban,Convenience,Budget,2015-07-01 00:00:00.000,348508.4103
Urban,Convenience,Budget,2015-06-01 00:00:00.000,257019.6494
Urban,Convenience,Budget,2015-05-01 00:00:00.000,255062.7929
Urban,Convenience,Budget,2015-04-01 00:00:00.000,327646.0972
Urban,Convenience,Budget,2015-03-01 00:00:00.000,346996.7374
Urban,Convenience,Budget,2015-02-01 00:00:00.000,157979.4357
Urban,Convenience,Budget,2015-01-01 00:00:00.000,129397.1436
Urban,Extreme,Forecast,2016-12-01 00:00:00.000,20868.84072
Urban,Extreme,Forecast,2016-11-01 00:00:00.000,46971.33037
Urban,Extreme,Forecast,2016-10-01 00:00:00.000,70793.02886
Urban,Extreme,Forecast,2016-09-01 00:00:00.000,11957.87523
Urban,Extreme,Forecast,2016-08-01 00:00:00.000,10668.924
Urban,Extreme,Forecast,2016-07-01 00:00:00.000,14286.02201
Urban,Extreme,Forecast,2016-06-01 00:00:00.000,5340.80274
Urban,Extreme,Forecast,2016-05-01 00:00:00.000,7842.956888
Urban,Extreme,Forecast,2016-04-01 00:00:00.000,12343.00573
Urban,Extreme,Forecast,2016-03-01 00:00:00.000,17582.20144
Urban,Extreme,Forecast,2016-02-01 00:00:00.000,14749.0644
Urban,Extreme,Forecast,2016-01-01 00:00:00.000,18247.11252
Urban,Extreme,Budget,2016-12-01 00:00:00.000,20868.84072
Urban,Extreme,Budget,2016-11-01 00:00:00.000,47574.88219
Urban,Extreme,Budget,2016-10-01 00:00:00.000,73028.5982
Urban,Extreme,Budget,2016-09-01 00:00:00.000,12323.93264
Urban,Extreme,Budget,2016-08-01 00:00:00.000,10668.924
Urban,Extreme,Budget,2016-07-01 00:00:00.000,14851.80506
Urban,Extreme,Budget,2016-06-01 00:00:00.000,5392.156613
Urban,Extreme,Budget,2016-05-01 00:00:00.000,7462.230825
Urban,Extreme,Budget,2016-04-01 00:00:00.000,12709.62966
Urban,Extreme,Budget,2016-03-01 00:00:00.000,17247.30236
Urban,Extreme,Budget,2016-02-01 00:00:00.000,13603.506
Urban,Extreme,Budget,2016-01-01 00:00:00.000,17018.94149
Urban,Extreme,Budget,2015-12-01 00:00:00.000,19263.54528
Urban,Extreme,Budget,2015-11-01 00:00:00.000,45547.95672
Urban,Extreme,Budget,2015-10-01 00:00:00.000,78244.92664
Urban,Extreme,Budget,2015-09-01 00:00:00.000,12281.52141
Urban,Extreme,Budget,2015-08-01 00:00:00.000,11446.86638
Urban,Extreme,Budget,2015-07-01 00:00:00.000,14710.3593
Urban,Extreme,Budget,2015-06-01 00:00:00.000,5340.80274
Urban,Extreme,Budget,2015-05-01 00:00:00.000,7842.956888
Urban,Extreme,Budget,2015-04-01 00:00:00.000,11976.3818
Urban,Extreme,Budget,2015-03-01 00:00:00.000,16075.1556
Urban,Extreme,Budget,2015-02-01 00:00:00.000,14749.0644
Urban,Extreme,Budget,2015-01-01 00:00:00.000,18422.56553
Urban,Moderation,Forecast,2016-12-01 00:00:00.000,251155.7122
Urban,Moderation,Forecast,2016-11-01 00:00:00.000,322984.2215
Urban,Moderation,Forecast,2016-10-01 00:00:00.000,362385.6466
Urban,Moderation,Forecast,2016-09-01 00:00:00.000,529188.1249
Urban,Moderation,Forecast,2016-08-01 00:00:00.000,675144.698
Urban,Moderation,Forecast,2016-07-01 00:00:00.000,642300.7198
Urban,Moderation,Forecast,2016-06-01 00:00:00.000,651766.3129
Urban,Moderation,Forecast,2016-05-01 00:00:00.000,644168.8923
Urban,Moderation,Forecast,2016-04-01 00:00:00.000,714907.2475
Urban,Moderation,Forecast,2016-03-01 00:00:00.000,713162.972
